idMunicipio,municipio,idDepartamento
101,Guatemala,1
102,"Santa Catarina Pinula",1
103,"San José Pinula",1
104,"San José del Golfo",1
105,Palencia,1
106,Chinautla,1
107,"San Pedro Ayampuc",1
108,Mixco,1
109,"San Pedro Sacatepéquez",1
110,"San Juan Sacatepéquez",1
111,"San Raymundo",1
112,Chuarrancho,1
113,Fraijanes,1
114,Amatitlán,1
115,"Villa Nueva",1
116,"Villa Canales",1
117,Petapa,1
201,Guastatoya,2
202,Morazán,2
203,"San Agustín Acasaguastlán",2
204,"San Cristóbal Acasguastlan",2
205,"El Jícaro",2
206,Sanarate,2
207,Sansare,2
208,"San Antonio La Paz",2
301,"Antigua Guatemala",3
302,Jocotenango,3
303,Pastores,3
304,Sumpango,3
305,"Santo Domingo Xenacoj",3
306,"Santiago Sacatepéquez",3
307,"San Bartolomé Milpas Altas",3
308,"San Lucas Sacatepéquez",3
309,"Santa Lucía Milpas Altas",3
310,"Magdalena Milpas Altas",3
311,"Santa María de Jesús",3
312,"Ciudad Vieja",3
313,"San Miguel Dueñas",3
314,Alotenango,3
315,"San Antonio Aguas Calientes",3
316,"Santa Catarina Barahona",3
401,Chimaltenango,4
402,"San José Poaquil",4
403,"San Martín Jilotepeque",4
404,Comalapa,4
405,"Santa Apolonia",4
406,"Tecpán Guatemala",4
407,Patzún,4
408,Pochuta,4
409,Patzicía,4
410,"Santa Cruz Balanyá",4
411,Acatenango,4
412,Yepocapa,4
413,"San Andrés Itzapa",4
414,Parramos,4
415,Zaragoza,4
416,"El Tejar",4
501,Escuintla,5
502,"Santa Lucia Cotzulmalguapa",5
503,"La Democracia",5
504,Siquinalá,5
505,Masagua,5
506,Tiquisate,5
507,"La Gomera",5
508,Guanagazapa,5
509,"San José",5
510,Iztapa,5
511,Palín,5
512,"San Vicente Pacaya",5
513,"Nueva Concepción",5
601,Cuilapa,6
602,Barberena,6
603,"Santa Rosa de Lima",6
604,Casillas,6
605,"San Rafael Las Flores",6
606,Oratorio,6
607,"San Juan Tecuaco",6
608,Chiquimulilla,6
609,Taxisco,6
610,"Santa María Ixhuatán",6
611,Guazacapán,6
612,"Santa Cruz Naranjo",6
613,"Pueblo Nuevo Viñas",6
614,"Nueva Santa Rosa",6
701,Sololá,7
702,"San José Chacayá",7
703,"Santa María Visitación",7
704,"Santa Lucía Utatlán",7
705,Nahualá,7
706,"Santa Catarina Ixtahuacán",7
707,"Santa Clara La Laguna",7
708,Concepción,7
709,"San Andrés Semetabaj",7
710,Panajachel,7
711,"Santa Catarina Palapó",7
712,"San Antonio Palapó",7
713,"San Lucas Tolimán",7
714,"Santa Cruz La Laguna",7
715,"San Pablo La Laguna",7
716,"San Marcos La Laguna",7
717,"San Juan La Laguna",7
718,"San Pedro La Laguna",7
719,"Santiago Atitlán",7
801,Totonicapán,8
802,"San Cristóbal Totonicapán",8
803,"San Francisco El Alto",8
804,"San Andrés Xecul",8
805,Momostenango,8
806,"Santa María Chiquimula",8
807,"Santa Lucía La Reforma",8
808,"San Bartolo Aguas Calientes",8
